latitude,longitude,Home Type,first_name,last_name,company_name,address,city,county,state,zip,phone1,NEM1,NEM2,NEM3,NEM4,NEM5
36.59,-119.57,Multi-family,Solange,Shinko,"Mosocco, Ronald A",426 Wolf St,Metairie,Jefferson,LA,70002,504-979-9175,85,71,69,42,50
36.48,-119.61,Multi-family,Jose,Stockham,Tri State Refueler Co,128 Bransten Rd,New York,New York,NY,10011,212-675-8570,92,73,55,64,46
36.48,-119.61,Single Family,Rozella,Ostrosky,Parkway Company,17 Morena Blvd,Camarillo,Ventura,CA,93012,805-832-6163,90,84,76,42,43
36.52,-119.39,Single Family,Valentine,Gillian,Fbs Business Finance,775 W 17th St,San Antonio,Bexar,TX,78204,210-812-9597,84,79,58,47,31
36.52,-119.39,Single Family,Kati,Rulapaugh,Eder Assocs Consltng Engrs Pc,6980 Dorsett Rd,Abilene,Dickinson,KS,67410,785-463-7829,90,64,53,56,42
36.65,-119.54,Single Family,Youlanda,Schemmer,Tri M Tool Inc,2881 Lewis Rd,Prineville,Crook,OR,97754,541-548-8197,98,76,79,65,49
36.66,-119.63,Multi-family,Dyan,Oldroyd,International Eyelets Inc,7219 Woodfield Rd,Overland Park,Johnson,KS,66204,913-413-4604,77,84,64,40,42
36.6051,-119.38,Single Family,Roxane,Campain,Rapid Trading Intl,1048 Main St,Fairbanks,Fairbanks North Star,AK,99708,907-231-4722,75,63,80,46,25
36.7008,-119.75,Single Family,Lavera,Perin,Abc Enterprises Inc,678 3rd Ave,Miami,Miami-Dade,FL,33196,305-606-7291,90,83,75,61,40
36.6051,-119.38,Single Family,Erick,Ferencz,Cindy Turner Associates,20 S Babcock St,Fairbanks,Fairbanks North Star,AK,99712,907-741-1044,95,86,59,68,21
36.7008,-119.75,Single Family,Fatima,Saylors,"Stanton, James D Esq",2 Lighthouse Ave,Hopkins,Hennepin,MN,55343,952-768-2416,82,63,50,64,40
36.0851,-119.55,Single Family,Jina,Briddick,Grace Pastries Inc,38938 Park Blvd,Boston,Suffolk,MA,2128,617-399-5124,92,60,77,70,27
36.69,-119.58,Single Family,Kanisha,Waycott,"Schroer, Gene E Esq",5 Tomahawk Dr,Los Angeles,Los Angeles,CA,90006,323-453-2780,97,77,59,59,48
36.6941,-119.72,Single Family,Emerson,Bowley,Knights Inn,762 S Main St,Madison,Dane,WI,53711,608-336-7444,70,76,76,57,50
36.6941,-119.72,Commercial,Blair,Malet,Bollinger Mach Shp & Shipyard,209 Decker Dr,Philadelphia,Philadelphia,PA,19132,215-907-9111,94,90,63,56,42
36.6941,-119.72,Single Family,Brock,Bolognia,Orinda News,4486 W O St #1,New York,New York,NY,10003,212-402-9216,97,84,71,49,34
36.6941,-119.72,Single Family,Lorrie,Nestle,Ballard Spahr Andrews,39 S 7th St,Tullahoma,Coffee,TN,37388,931-875-6644,75,66,72,60,50
36.1096,-119.56,Single Family,Sabra,Uyetake,Lowy Limousine Service,98839 Hawthorne Blvd #6101,Columbia,Richland,SC,29201,803-925-5213,73,79,70,68,32
36.1096,-119.56,Single Family,Marjory,Mastella,Vicon Corporation,71 San Mateo Ave,Wayne,Delaware,PA,19087,610-814-5533,72,69,75,66,45
36.4043,-119.69,Single Family,Karl,Klonowski,"Rossi, Michael M",76 Brooks St #9,Flemington,Hunterdon,NJ,8822,908-877-6135,74,65,50,41,28
36.7189,-119.77,Single Family,Tonette,Wenner,Northwest Publishing,4545 Courthouse Rd,Westbury,Nassau,NY,11590,516-968-6051,76,74,52,47,37
36.7189,-119.77,Single Family,Amber,Monarrez,Branford Wire & Mfg Co,14288 Foster Ave #4121,Jenkintown,Montgomery,PA,19046,215-934-8655,86,85,53,43,23
36.7189,-119.77,Single Family,Shenika,Seewald,East Coast Marketing,4 Otis St,Van Nuys,Los Angeles,CA,91405,818-423-4007,92,61,79,66,41
36.7189,-119.77,Single Family,Delmy,Ahle,Wye Technologies Inc,65895 S 16th St,Providence,Providence,RI,2909,401-458-2547,78,77,62,60,33
36.5,-119.59,Single Family,Deeanna,Juhas,"Healy, George W Iv",14302 Pennsylvania Ave,Huntingdon Valley,Montgomery,PA,19006,215-211-9589,79,72,50,65,34
36.5,-119.59,Single Family,Blondell,Pugh,Alpenlite Inc,201 Hawk Ct,Providence,Providence,RI,2904,401-960-8259,96,68,60,46,48
36.7071,-119.61,Multi-family,Jamal,Vanausdal,"Hubbard, Bruce Esq",53075 Sw 152nd Ter #615,Monroe Township,Middlesex,NJ,8831,732-234-1546,88,78,50,59,41
36.71,-119.54,Multi-family,Cecily,Hollack,Arthur A Oliver & Son Inc,59 N Groesbeck Hwy,Austin,Travis,TX,78731,512-486-3817,90,89,59,68,39
36.7071,-119.61,Multi-family,Carmelina,Lindall,George Jessop Carter Jewelers,2664 Lewis Rd,Littleton,Douglas,CO,80126,303-724-7371,87,89,68,60,44
36.87,-119.13,Single Family,Maurine,Yglesias,"Schultz, Thomas C Md",59 Shady Ln #53,Milwaukee,Milwaukee,WI,53214,414-748-1374,70,80,79,53,27
36.826,-119.68,Single Family,Tawna,Buvens,H H H Enterprises Inc,3305 Nabell Ave #679,New York,New York,NY,10009,212-674-9610,75,70,63,70,35
36.826,-119.68,Single Family,Penney,Weight,Hawaiian King Hotel,18 Fountain St,Anchorage,Anchorage,AK,99515,907-797-9628,79,87,60,47,43
36.826,-119.68,Single Family,Elly,Morocco,Killion Industries,7 W 32nd St,Erie,Erie,PA,16502,814-393-5571,75,70,62,42,46
36.8,-119.69,Multi-family,Ilene,Eroman,"Robinson, William J Esq",2853 S Central Expy,Glen Burnie,Anne Arundel,MD,21061,410-914-9018,92,74,70,54,41
37.07,-119.58,Single Family,Vallie,Mondella,Private Properties,74 W College St,Boise,Ada,ID,83707,208-862-5339,88,71,51,69,25
37.3238,-119.63,Single Family,Kallie,Blackwood,Rowley Schlimgen Inc,701 S Harrison Rd,San Francisco,San Francisco,CA,94104,415-315-2761,76,90,54,69,49
37.3238,-119.63,Single Family,Johnetta,Abdallah,Forging Specialties,1088 Pinehurst St,Chapel Hill,Orange,NC,27514,919-225-9345,94,82,75,46,21
37.2275,-119.69,Single Family,Bobbye,Rhym,"Smits, Patricia Garity",30 W 80th St #1995,San Carlos,San Mateo,CA,94070,650-528-5783,85,90,54,55,48
37.2275,-119.69,Single Family,Micaela,Rhymes,H Lee Leonard Attorney At Law,20932 Hedley St,Concord,Contra Costa,CA,94520,925-647-3298,87,87,79,66,33
36.764,-119.74,Single Family,Tamar,Hoogland,A K Construction Co,2737 Pistorio Rd #9230,London,Madison,OH,43140,740-343-8575,98,61,67,48,34
36.764,-119.74,Single Family,Moon,Parlato,"Ambelang, Jessica M Md",74989 Brandon St,Wellsville,Allegany,NY,14895,585-866-8313,94,77,80,66,45
36.764,-119.74,Commercial,Laurel,Reitler,Q A Service,6 Kains Ave,Baltimore,Baltimore City,MD,21215,410-520-4832,74,67,79,70,25
36.788,-119.79,Single Family,Delisa,Crupi,Wood & Whitacre Contractors,47565 W Grand Ave,Newark,Essex,NJ,7105,973-354-2040,75,66,67,40,42
36.788,-119.79,Single Family,Viva,Toelkes,Mark Iv Press Ltd,4284 Dorigo Ln,Chicago,Cook,IL,60647,773-446-5569,89,63,67,42,46
36.788,-119.79,Single Family,Elza,Lipke,Museum Of Science & Industry,6794 Lake Dr E,Newark,Essex,NJ,7104,973-927-3447,99,76,50,44,45
36.8966,-119.75,Single Family,Devorah,Chickering,Garrison Ind,31 Douglas Blvd #950,Clovis,Curry,NM,88101,505-975-8559,81,63,57,66,30
36.8966,-119.75,Single Family,Timothy,Mulqueen,Saronix Nymph Products,44 W 4th St,Staten Island,Richmond,NY,10309,718-332-6527,99,70,70,64,33
36.8966,-119.75,Single Family,Arlette,Honeywell,Smc Inc,11279 Loytan St,Jacksonville,Duval,FL,32254,904-775-4480,88,75,79,69,24
37.0973,-120.16,Single Family,Dominque,Dickerson,E A I Electronic Assocs Inc,69 Marquette Ave,Hayward,Alameda,CA,94545,510-993-3758,73,72,63,43,28
36.29,-119.71,Single Family,Lettie,Isenhower,"Conte, Christopher A Esq",70 W Main St,Beachwood,Cuyahoga,OH,44122,216-657-7668,99,82,54,45,46
37.12,-120.23,Single Family,Myra,Munns,Anker Law Office,461 Prospect Pl #316,Euless,Tarrant,TX,76040,817-914-7518,81,89,53,44,41
37.1208,-120.25,Single Family,Stephaine,Barfield,Beutelschies & Company,47154 Whipple Ave Nw,Gardena,Los Angeles,CA,90247,310-774-7643,96,67,80,60,43
37.1208,-120.25,Single Family,Lai,Gato,"Fligg, Kenneth I Jr",37 Alabama Ave,Evanston,Cook,IL,60201,847-728-7286,100,81,63,59,43
37.06,-120.08,Multi-family,Stephen,Emigh,"Sharp, J Daniel Esq",3777 E Richmond St #900,Akron,Summit,OH,44302,330-537-5358,76,63,67,63,28
37.06,-120.08,Multi-family,Tyra,Shields,"Assink, Anne H Esq",3 Fort Worth Ave,Philadelphia,Philadelphia,PA,19106,215-255-1641,92,82,80,64,38
37.1208,-120.25,Multi-family,Tammara,Wardrip,Jewel My Shop Inc,4800 Black Horse Pike,Burlingame,San Mateo,CA,94010,650-803-1936,93,81,74,69,39
36.87,-119.81,Single Family,Cory,Gibes,Chinese Translation Resources,83649 W Belmont Ave,San Gabriel,Los Angeles,CA,91776,626-572-1096,86,86,67,69,29
37.6655,-119.84,Single Family,Danica,Bruschke,"Stevens, Charles T",840 15th Ave,Waco,McLennan,TX,76708,254-782-8569,99,64,80,67,22
37.5045,-120.01,Single Family,Wilda,Giguere,"Mclaughlin, Luther W Cpa",1747 Calle Amanecer #2,Anchorage,Anchorage,AK,99501,907-870-5536,82,74,60,50,50
37.5045,-120.01,Single Family,Elvera,Benimadho,Tree Musketeers,99385 Charity St #840,San Jose,Santa Clara,CA,95110,408-703-8505,81,65,56,60,36
37.1844,-120.27,Multi-family,Carma,Vanheusen,Springfield Div Oh Edison Co,68556 Central Hwy,San Leandro,Alameda,CA,94577,510-503-7169,79,73,53,55,24
37.5865,-120.13,Single Family,Malinda,Hochard,Logan Memorial Hospital,55 Riverside Ave,Indianapolis,Marion,IN,46202,317-722-5066,80,61,68,56,42
37.6,-120.28,Single Family,Natalie,Fern,"Kelly, Charles G Esq",7140 University Ave,Rock Springs,Sweetwater,WY,82901,307-704-8713,89,76,58,64,46
37.59,-120.29,Single Family,Lisha,Centini,Industrial Paper Shredders Inc,64 5th Ave #1153,Mc Lean,Fairfax,VA,22102,703-235-3937,87,79,68,45,28
37.0552,-120.32,Single Family,Arlene,Klusman,Beck Horizon Builders,3 Secor Rd,New Orleans,Orleans,LA,70112,504-710-5840,98,72,60,42,46
36.8244,-119.77,Single Family,Alease,Buemi,Porto Cayo At Hawks Cay,4 Webbs Chapel Rd,Boulder,Boulder,CO,80303,303-301-4946,79,67,62,53,38
36.8244,-119.77,Single Family,Louisa,Cronauer,Pacific Grove Museum Ntrl Hist,524 Louisiana Ave Nw,San Leandro,Alameda,CA,94577,510-828-7047,90,64,59,63,39
36.8244,-119.77,Single Family,Angella,Cetta,Bender & Hatley Pc,185 Blackstone Bldge,Honolulu,Honolulu,HI,96817,808-892-7943,78,82,70,52,26
36.8244,-119.77,Commercial,Cyndy,Goldammer,Di Cristina J & Son,170 Wyoming Ave,Burnsville,Dakota,MN,55337,952-334-9408,82,74,73,45,43
36.8244,-119.77,Single Family,Rosio,Cork,Green Goddess,4 10th St W,High Point,Guilford,NC,27263,336-243-5659,71,72,71,62,25
37.0681,-119.5,Single Family,Celeste,Korando,American Arts & Graphics,7 W Pinhook Rd,Lynbrook,Nassau,NY,11563,516-509-2347,96,74,74,40,40
37.0681,-119.5,Single Family,Twana,Felger,Opryland Hotel,1 Commerce Way,Portland,Washington,OR,97224,503-939-3153,85,76,52,56,40
36.83,-119.83,Single Family,Estrella,Samu,Marking Devices Pubg Co,64 Lakeview Ave,Beloit,Rock,WI,53511,608-976-7199,98,83,57,52,47
36.83,-119.83,Single Family,Donte,Kines,W Tc Industries Inc,3 Aspen St,Worcester,Worcester,MA,1602,508-429-8576,80,90,76,57,33
37.2728,-120.49,Single Family,Tiffiny,Steffensmeier,Whitehall Robbins Labs Divsn,32860 Sierra Rd,Miami,Miami-Dade,FL,33133,305-385-9695,70,67,50,57,46
37.2728,-120.49,Single Family,Edna,Miceli,Sampler,555 Main St,Erie,Erie,PA,16502,814-460-2655,88,68,71,42,32
36.7925,-120.11,Single Family,Sue,Kownacki,Juno Chefs Incorporated,2 Se 3rd Ave,Mesquite,Dallas,TX,75149,972-666-3413,91,75,77,49,27
36.9026,-119.77,Single Family,Jesusa,Shin,"Carroccio, A Thomas Esq",2239 Shawnee Mission Pky,Tullahoma,Coffee,TN,37388,931-273-8709,75,87,51,66,35
36.8672,-120.33,Single Family,Rolland,Francescon,"Stanley, Richard L Esq",2726 Charcot Ave,Paterson,Passaic,NJ,7501,973-649-2922,97,80,62,47,43
36.8672,-120.33,Single Family,Pamella,Schmierer,K Cs Cstm Mouldings Windows,5161 Dorsett Rd,Homestead,Miami-Dade,FL,33030,305-420-8970,75,90,78,46,30
33.8091,-117.98,Multi-family,Glory,Kulzer,Comfort Inn,55892 Jacksonville Rd,Owings Mills,Baltimore,MD,21117,410-224-9462,79,88,59,50,38
33.8091,-117.98,Multi-family,Shawna,Palaspas,"Windsor, James L Esq",5 N Cleveland Massillon Rd,Thousand Oaks,Ventura,CA,91362,805-275-3566,74,81,53,69,26
33.8091,-117.98,Multi-family,Brandon,Callaro,Jackson Shields Yeiser,7 Benton Dr,Honolulu,Honolulu,HI,96819,808-215-6832,94,61,74,70,41
33.8091,-117.98,Single Family,Scarlet,Cartan,"Box, J Calvin Esq",9390 S Howell Ave,Albany,Dougherty,GA,31701,229-735-3378,95,82,67,51,28
36.9679,-120.2,Single Family,Oretha,Menter,Custom Engineering Inc,8 County Center Dr #647,Boston,Suffolk,MA,2210,617-418-5043,78,64,57,63,49
36.7926,-119.83,Single Family,Ty,Smith,Bresler Eitel Framg Gllry Ltd,4646 Kaahumanu St,Hackensack,Bergen,NJ,7601,201-672-1553,95,69,79,70,37
33.1365,-117.07,Single Family,Xuan,Rochin,"Carol, Drake Sparks Esq",2 Monroe St,San Mateo,San Mateo,CA,94403,650-933-5072,71,80,73,45,32
33.1365,-117.07,Multi-family,Lindsey,Dilello,Biltmore Investors Bank,52777 Leaders Heights Rd,Ontario,San Bernardino,CA,91761,909-639-9887,90,75,54,57,30
36.822,-119.86,Single Family,Devora,Perez,Desco Equipment Corp,72868 Blackington Ave,Oakland,Alameda,CA,94606,510-955-3016,85,63,59,54,35
36.822,-119.86,Single Family,Herman,Demesa,Merlin Electric Co,9 Norristown Rd,Troy,Rensselaer,NY,12180,518-497-2940,95,60,79,65,28
36.5912,-120.18,Single Family,Rory,Papasergi,Bailey Cntl Co Div Babcock,83 County Road 437 #8581,Clarks Summit,Lackawanna,PA,18411,570-867-7489,78,71,57,67,50
36.5912,-120.18,Single Family,Talia,Riopelle,Ford Brothers Wholesale Inc,1 N Harlem Ave #9,Orange,Essex,NJ,7050,973-245-2133,89,90,51,40,41
36.5912,-120.18,Single Family,Van,Shire,Cambridge Inn,90131 J St,Pittstown,Hunterdon,NJ,8867,908-409-2890,72,66,55,60,46
36.86,-119.93,Single Family,Lucina,Lary,"Matricciani, Albert J Jr",8597 W National Ave,Cocoa,Brevard,FL,32922,321-749-4981,91,75,74,56,38
36.9223,-119.98,Single Family,Bok,Isaacs,Nelson Hawaiian Ltd,6 Gilson St,Bronx,Bronx,NY,10468,718-809-3762,74,73,76,62,34
36.9223,-119.98,Commercial,Rolande,Spickerman,Neland Travel Agency,65 W Maple Ave,Pearl City,Honolulu,HI,96782,808-315-3077,97,64,54,52,27
36.9223,-119.98,Single Family,Howard,Paulas,"Asendorf, J Alan Esq",866 34th Ave,Denver,Denver,CO,80231,303-623-4241,82,62,75,67,21
36.6921,-120.06,Single Family,Kimbery,Madarang,"Silberman, Arthur L Esq",798 Lund Farm Way,Rockaway,Morris,NJ,7866,973-310-1634,79,77,61,64,22
37.7165,-121.55,Single Family,Thurman,Manno,Honey Bee Breeding Genetics &,9387 Charcot Ave,Absecon,Atlantic,NJ,8201,609-524-3586,88,64,55,55,49
37.7165,-121.55,Single Family,Becky,Mirafuentes,Wells Kravitz Schnitzer,30553 Washington Rd,Plainfield,Union,NJ,7062,908-877-8409,93,85,59,44,40
37.7165,-121.55,Single Family,Beatriz,Corrington,Prohab Rehabilitation Servs,481 W Lemon St,Middleboro,Plymouth,MA,2346,508-584-4279,70,76,64,42,44
36.9828,-120.03,Single Family,Marti,Maybury,"Eldridge, Kristin K Esq",4 Warehouse Point Rd #7,Chicago,Cook,IL,60638,773-775-4522,85,85,75,41,22
33.68,-117.94,Single Family,Nieves,Gotter,"Vlahos, John J Esq",4940 Pulaski Park Dr,Portland,Multnomah,OR,97202,503-527-5274,83,81,55,64,42
33.6461,-117.98,Single Family,Leatha,Hagele,Ninas Indian Grs & Videos,627 Walford Ave,Dallas,Dallas,TX,75227,214-339-1809,76,79,74,69,48
33.64,-117.96,Single Family,Valentin,Klimek,"Schmid, Gayanne K Esq",137 Pioneer Way,Chicago,Cook,IL,60604,312-303-5453,93,64,68,59,41
33.6461,-117.98,Single Family,Melissa,Wiklund,Moapa Valley Federal Credit Un,61 13 Stoneridge #835,Findlay,Hancock,OH,45840,419-939-3613,94,85,69,61,48
33.64,-117.97,Single Family,Sheridan,Zane,Kentucky Tennessee Clay Co,2409 Alabama Rd,Riverside,Riverside,CA,92501,951-645-3605,87,69,72,63,43
33.6461,-117.98,Multi-family,Bulah,Padilla,Admiral Party Rentals & Sales,8927 Vandever Ave,Waco,McLennan,TX,76707,254-463-4368,79,62,63,62,34
33.66,-117.97,Multi-family,Audra,Kohnert,"Nelson, Karolyn King Esq",134 Lewis Rd,Nashville,Davidson,TN,37211,615-406-7854,83,90,52,51,50
33.6461,-117.98,Multi-family,Daren,Weirather,Panasystems,9 N College Ave #3,Milwaukee,Milwaukee,WI,53216,414-959-2540,79,74,70,57,41
33.66,-117.97,Single Family,Fernanda,Jillson,"Shank, Edward L Esq",60480 Old Us Highway 51,Preston,Caroline,MD,21655,410-387-5260,85,72,72,52,35
36.6057,-119.77,Single Family,Gearldine,Gellinger,Megibow & Edwards,4 Bloomfield Ave,Irving,Dallas,TX,75061,972-934-6914,77,73,69,49,36
36.5316,-119.88,Single Family,Chau,Kitzman,"Benoff, Edward Esq",429 Tiger Ln,Beverly Hills,Los Angeles,CA,90212,310-560-8022,88,78,58,41,31
33.7136,-117.85,Single Family,Theola,Frey,Woodbridge Free Public Library,54169 N Main St,Massapequa,Nassau,NY,11758,516-948-5768,98,88,59,70,31
33.7136,-117.85,Multi-family,Cheryl,Haroldson,New York Life John Thune,92 Main St,Atlantic City,Atlantic,NJ,8401,609-518-7697,96,78,67,45,47
33.7136,-117.85,Single Family,Laticia,Merced,Alinabal Inc,72 Mannix Dr,Cincinnati,Hamilton,OH,45203,513-508-7371,77,78,56,54,50
36.7044,-119.88,Single Family,Carissa,Batman,"Poletto, Kim David Esq",12270 Caton Center Dr,Eugene,Lane,OR,97401,541-326-4074,85,81,80,67,33
36.7044,-119.88,Single Family,Lezlie,Craghead,"Chang, Carolyn Esq",749 W 18th St #45,Smithfield,Johnston,NC,27577,919-533-3762,85,74,77,55,38
36.9828,-120.03,Single Family,Ozell,Shealy,Silver Bros Inc,8 Industry Ln,New York,New York,NY,10002,212-332-8435,74,80,51,50,33
36.9828,-120.03,Single Family,Arminda,Parvis,Newtec Inc,1 Huntwood Ave,Phoenix,Maricopa,AZ,85017,602-906-9419,93,62,55,45,26
33.7716,-118.1,Single Family,Reita,Leto,Creative Business Systems,55262 N French Rd,Indianapolis,Marion,IN,46240,317-234-1135,99,90,78,50,30
33.7716,-118.1,Single Family,Yolando,Luczki,Dal Tile Corporation,422 E 21st St,Syracuse,Onondaga,NY,13214,315-304-4759,78,90,66,58,47
33.7716,-118.1,Commercial,Lizette,Stem,Edward S Katz,501 N 19th Ave,Cherry Hill,Camden,NJ,8002,856-487-5412,74,68,64,64,42
33.7716,-118.1,Single Family,Gregoria,Pawlowicz,Oh My Goodknits Inc,455 N Main Ave,Garden City,Nassau,NY,11530,516-212-1915,88,68,67,44,47
33.7716,-118.1,Single Family,Carin,Deleo,"Redeker, Debbie",1844 Southern Blvd,Little Rock,Pulaski,AR,72202,501-308-1040,92,68,51,48,42
33.7716,-118.1,Single Family,Chantell,Maynerich,Desert Sands Motel,2023 Greg St,Saint Paul,Ramsey,MN,55101,651-591-2583,98,68,74,49,43
33.7716,-118.1,Single Family,Dierdre,Yum,Cummins Southern Plains Inc,63381 Jenks Ave,Philadelphia,Philadelphia,PA,19134,215-325-3042,72,88,67,68,24
33.7716,-118.1,Single Family,Larae,Gudroe,Lehigh Furn Divsn Lehigh,6651 Municipal Rd,Houma,Terrebonne,LA,70360,985-890-7262,73,76,62,56,41
33.7716,-118.1,Single Family,Latrice,Tolfree,United Van Lines Agent,81 Norris Ave #525,Ronkonkoma,Suffolk,NY,11779,631-957-7624,81,82,57,48,20
33.77,-118.1,Single Family,Kerry,Theodorov,Capitol Reporters,6916 W Main St,Sacramento,Sacramento,CA,95827,916-591-3277,72,86,75,55,49
33.7716,-118.1,Single Family,Dorthy,Hidvegi,Kwik Kopy Printing,9635 S Main St,Boise,Ada,ID,83704,208-649-2373,92,65,69,65,20
33.7716,-118.1,Single Family,Fannie,Lungren,Centro Inc,17 Us Highway 111,Round Rock,Williamson,TX,78664,512-587-5746,73,62,58,65,27
33.7716,-118.1,Single Family,Evangelina,Radde,"Campbell, Jan Esq",992 Civic Center Dr,Philadelphia,Philadelphia,PA,19123,215-964-3284,82,69,60,66,20
33.7716,-118.1,Single Family,Novella,Degroot,"Evans, C Kelly Esq",303 N Radcliffe St,Hilo,Hawaii,HI,96720,808-477-4775,86,73,70,62,47
36.7208,-120.46,Multi-family,Clay,Hoa,Scat Enterprises,73 Saint Ann St #86,Reno,Washoe,NV,89502,775-501-8109,91,68,53,41,24
